"code", "name", "country", "currency"
NASDAQ, "National Association of Securities Dealers Automated Quotations", USA, USD
NYSE, "New York Stock Exchange", USA, USD
AMEX, "American Stock Exchange", USA, USD
BOVESPA, "Bolsa de Valores, Mercadorias & Futuros de São Paulo", BRA, BRL
TMX, "Montreal Stock Exchange", CAN, CAD
CSS, "Shanghai Stock Exchange", CHN, CNY
SZSE, "Shenzhen Stock Exchange", CHN, CNY
